1,931,73,273,249,545,1807,879,3658,924,
2,43,2709,988,3165,504,4440,328,4492,730,
3,710,2612,158,3169,561,3840,934,4303,100,
4,827,278,513,335,268,1816,811,4097,634,
5,968,979,673,1579,394,3821,337,4149,486,
6,358,194,2,228,154,1745,709,4091,945,
7,531,668,904,1490,723,2196,667,3124,550,
8,409,977,229,1853,934,2801,299,3024,982,
9,64,3013,537,3635,426,3865,670,4814,116,
10,196,94,106,629,405,1501,452,1517,299,
11,753,1123,567,1882,717,2188,338,4505,439,
12,829,1501,138,3144,359,3871,178,4897,398,
13,746,1231,176,1609,636,2294,299,2904,143,
14,558,260,595,399,9,412,396,2968,969,
15,943,962,366,1006,83,4113,853,4530,768,
16,902,695,591,3671,832,3821,739,4712,58,
17,336,640,7,679,973,1616,99,4790,96,
18,761,223,906,319,127,2289,124,3454,507,
19,221,238,845,813,367,1770,535,4094,227,
20,591,394,551,1363,160,2844,624,3738,948,
21,248,272,386,539,497,2217,886,2385,624,
22,916,735,626,1968,535,2420,43,3144,12,
23,819,244,397,2295,693,4152,816,4679,992,
24,548,33,826,2669,211,4397,663,4553,212,
25,336,625,869,2761,996,3377,777,3808,768,
26,302,556,873,2439,561,4331,95,4874,985,
27,194,1407,770,3015,681,3755,456,4789,856,
28,109,963,250,1676,332,2506,845,3502,639,
29,204,808,732,3651,532,4849,15,4997,420,
30,224,180,55,1775,261,2009,738,2929,546,
31,565,2317,598,2525,649,4200,705,4256,551,
32,798,150,505,1412,382,1976,749,3554,66,
33,554,129,484,2699,448,3209,608,4378,774,
34,225,53,631,176,367,322,401,4305,445,
35,156,285,134,370,558,3016,577,3898,179,
36,615,1711,820,2357,738,2878,134,3266,592,
37,32,1197,589,1633,590,3720,874,3762,878,
38,961,1200,916,2254,948,2304,481,4358,731,
39,1,1238,927,2107,36,4546,858,4955,114,
40,419,114,358,1360,586,3354,730,4593,16,
41,420,917,968,1102,748,1563,270,1643,396,
42,386,1748,659,3303,460,4103,407,4473,931,
43,898,132,921,973,951,4603,232,4824,481,
44,259,203,4,2533,677,3900,951,4520,935,
45,550,1832,543,2574,250,3780,772,4879,311,
46,724,879,651,983,972,2040,230,4970,319,
47,777,299,125,621,245,2230,959,2746,697,
48,752,1560,941,1598,504,1771,552,4064,802,
49,650,80,414,418,321,2205,26,4274,13,
50,551,1783,325,4008,196,4117,258,4788,512,
51,554,593,566,690,961,2410,743,3666,404,
52,201,1141,800,2307,128,4352,172,4910,788,
53,349,1625,843,1641,316,4414,975,4517,446,
54,55,1373,306,2220,930,4239,254,4911,190,
55,899,166,593,4304,721,4356,117,4860,581,
56,902,1939,812,3698,617,3867,892,4352,672,
57,121,1661,241,1671,159,1728,454,2045,628,
58,534,350,728,563,828,3711,796,4594,532,
6,925,59,602,1516,98,2442,662,3515,104,
